model,combination,features,validation_target_mse_lnK,validation_K_rmse,validation_K_mae,validation_K_r2,test_target_mse_lnK,test_K_rmse,test_K_mae,test_K_r2,validation_physical_metrics_finite,test_physical_metrics_finite,configured_neighbors,effective_neighbors
rbf_5,10_density+q,"density,q",26.015051448522726,49419217908.936,5784081957.601617,-4.7354127969937385e+26,94.33254717936468,4.6599091822855914e+29,5.417034392013418e+28,-3.650072913665242e+64,True,True,25,25
rbf_5,52_MCN+q_over_p+a,"MCN,q_over_p,a",79.08659067093276,3965218371999.91,475482593069.6287,-3.0485991670873786e+30,56.56953668565233,925720.0596110065,169784.24579442336,-1.4404758572850642e+17,True,True,25,25
rbf_5,09_trace_sigma+q,"trace_sigma,q",36.20654223081234,4.779353648924748e+18,5.593810339261652e+17,-4.428987371530252e+42,4.760186958410022,1619.510963905736,196.33667080403427,-440873930838.6127,True,True,25,25
rbf_5,44_MCN+q+a,"MCN,q,a",779.9937053602112,4.8415592155535535e+32,5.666616448063858e+31,-4.5450284186037196e+70,449.968636220406,43445178374.538475,5596417244.56041,-3.172705809566418e+26,True,True,25,25
rbf_5,20_MCN+q_over_p,"MCN,q_over_p",544.8835575039818,1.6127518567676635e+36,1.8875852254051624e+35,-5.043142134177062e+77,660.6114116272977,1.544126408648596e+30,1.7950134146387894e+29,-4.0078580908275547e+65,True,True,25,25
rbf_5,61_trace_sigma+MCN+q+q_over_p+a,"trace_sigma,MCN,q,q_over_p,a",2012.4708008541513,4.92415520330349e+41,5.7632877396643605e+40,-4.701425656336436e+88,19648582.745760746,,,,True,False,25,25
rbf_5,42_density+q+a,"density,q,a",11099.9404613745,6.5280826954942135e+41,7.64054287671851e+40,-8.262993321484275e+88,8200.015290229978,1.54431481474039e+50,1.795229506906729e+49,-4.0088361855509784e+105,True,True,25,25
rbf_5,24_q+q_over_p,"q,q_over_p",28034.62693214257,4.045312703420949e+45,4.734680395754681e+44,-3.173001692632654e+96,6454993555.723727,3.6036516058561795e+43,4.189159900361534e+42,-2.182891901613007e+92,True,True,25,25
rbf_5,18_density+q_over_p,"density,q_over_p",825.8070205199821,4.5408291529917367e+58,5.3146385329846946e+57,-3.9979414656925525e+122,611.549755959593,2.8704115039754087e+53,3.336785595602363e+52,-1.3849527544474058e+112,True,True,25,25
rbf_5,17_trace_sigma+q_over_p,"trace_sigma,q_over_p",1104.170821066576,1.6931069926977657e+97,1.9816318475113713e+96,-5.558209523172676e+199,18269969702.833183,34825628.415810294,4048437.34821782,-2.0386588564474462e+20,True,True,25,25
rbf_5,31_trace_sigma+density+MCN+q+q_over_p,"trace_sigma,density,MCN,q,q_over_p",24588539.884799175,2.1803119776494864e+139,2.551862151095601e+138,-9.217292900784791e+283,31352609.49702753,,,,True,False,25,25
rbf_5,27_trace_sigma+density+q+q_over_p,"trace_sigma,density,q,q_over_p",688861.4908900615,,,,1307835208.8753488,,,,False,False,25,25
rbf_5,28_MCN+q+q_over_p,"MCN,q,q_over_p",73190.02847604721,,,,94592.38353673411,,,,False,False,25,25
rbf_5,30_density+MCN+q+q_over_p,"density,MCN,q,q_over_p",32456.24059804358,,,,140939.2802883546,,,,False,False,25,25
rbf_5,19_trace_sigma+density+q_over_p,"trace_sigma,density,q_over_p",219026244664.898,,,,100593070806.9099,,,,False,False,25,25
rbf_5,26_density+q+q_over_p,"density,q,q_over_p",3766455013527.0483,,,,5591663527775.04,,,,False,False,25,25
